"Region";"Dato";"Bekræftede tilfælde i alt"
Hovedstaden;2020-05-13;41
Midtjylland;2020-05-13;4
Nordjylland;2020-05-13;1
Sjælland;2020-05-13;13
Syddanmark;2020-05-13;6
Hovedstaden;2020-05-14;35
Midtjylland;2020-05-14;4
Sjælland;2020-05-14;14
Syddanmark;2020-05-14;8
Hovedstaden;2020-05-15;58
Midtjylland;2020-05-15;4
Nordjylland;2020-05-15;1
Sjælland;2020-05-15;14
Syddanmark;2020-05-15;12
Hovedstaden;2020-05-16;18
Midtjylland;2020-05-16;4
Nordjylland;2020-05-16;1
Sjælland;2020-05-16;8
Syddanmark;2020-05-16;3
Hovedstaden;2020-05-17;31
Midtjylland;2020-05-17;8
Sjælland;2020-05-17;7
Syddanmark;2020-05-17;4
Hovedstaden;2020-05-18;54
Midtjylland;2020-05-18;7
Nordjylland;2020-05-18;1
Sjælland;2020-05-18;8
Syddanmark;2020-05-18;10
Hovedstaden;2020-05-19;42
Midtjylland;2020-05-19;5
Nordjylland;2020-05-19;2
Sjælland;2020-05-19;8
Syddanmark;2020-05-19;4
Hovedstaden;2020-05-20;52
Nordjylland;2020-05-20;1
Sjælland;2020-05-20;12
Syddanmark;2020-05-20;4
Hovedstaden;2020-05-21;24
Midtjylland;2020-05-21;1
Nordjylland;2020-05-21;1
Sjælland;2020-05-21;5
Hovedstaden;2020-05-22;48
Midtjylland;2020-05-22;3
Nordjylland;2020-05-22;2
Sjælland;2020-05-22;14
Syddanmark;2020-05-22;4
Hovedstaden;2020-05-23;30
Midtjylland;2020-05-23;3
Sjælland;2020-05-23;4
Hovedstaden;2020-05-24;28
Sjælland;2020-05-24;5
Syddanmark;2020-05-24;2
Hovedstaden;2020-05-25;43
Midtjylland;2020-05-25;1
Nordjylland;2020-05-25;1
Sjælland;2020-05-25;5
Syddanmark;2020-05-25;2
Hovedstaden;2020-05-26;46
Midtjylland;2020-05-26;2
Nordjylland;2020-05-26;2
Sjælland;2020-05-26;7
Syddanmark;2020-05-26;5
Hovedstaden;2020-05-27;42
Midtjylland;2020-05-27;2
Sjælland;2020-05-27;8
Hovedstaden;2020-05-28;28
Sjælland;2020-05-28;7
Syddanmark;2020-05-28;2
Hovedstaden;2020-05-29;28
Sjælland;2020-05-29;11
Syddanmark;2020-05-29;3
Hovedstaden;2020-05-30;23
Sjælland;2020-05-30;9
Syddanmark;2020-05-30;1
Hovedstaden;2020-05-31;16
Sjælland;2020-05-31;6
Hovedstaden;2020-06-01;22
Midtjylland;2020-06-01;3
Sjælland;2020-06-01;8
Syddanmark;2020-06-01;2
Hovedstaden;2020-06-02;32
Midtjylland;2020-06-02;3
Sjælland;2020-06-02;16
Syddanmark;2020-06-02;4
Hovedstaden;2020-06-03;33
Sjælland;2020-06-03;18
Syddanmark;2020-06-03;1
Hovedstaden;2020-06-04;26
Midtjylland;2020-06-04;5
Sjælland;2020-06-04;6
Syddanmark;2020-06-04;5
Hovedstaden;2020-06-05;29
Sjælland;2020-06-05;4
Syddanmark;2020-06-05;2
Hovedstaden;2020-06-06;11
Midtjylland;2020-06-06;1
Sjælland;2020-06-06;2
Syddanmark;2020-06-06;1
Hovedstaden;2020-06-07;14
Hovedstaden;2020-06-08;29
Midtjylland;2020-06-08;4
Nordjylland;2020-06-08;1
Sjælland;2020-06-08;2
Syddanmark;2020-06-08;8
Hovedstaden;2020-06-09;22
Midtjylland;2020-06-09;2
Sjælland;2020-06-09;4
Syddanmark;2020-06-09;3
Hovedstaden;2020-06-10;20
Midtjylland;2020-06-10;2
Nordjylland;2020-06-10;9
Sjælland;2020-06-10;7
Syddanmark;2020-06-10;1
Hovedstaden;2020-06-11;36
Midtjylland;2020-06-11;1
Nordjylland;2020-06-11;2
Sjælland;2020-06-11;9
Hovedstaden;2020-06-12;26
Midtjylland;2020-06-12;4
Nordjylland;2020-06-12;25
Sjælland;2020-06-12;4
Syddanmark;2020-06-12;1
Hovedstaden;2020-06-13;20
Midtjylland;2020-06-13;2
Sjælland;2020-06-13;6
Hovedstaden;2020-06-14;10
Midtjylland;2020-06-14;1
Nordjylland;2020-06-14;8
Sjælland;2020-06-14;2
Hovedstaden;2020-06-15;32
Midtjylland;2020-06-15;1
Nordjylland;2020-06-15;3
Sjælland;2020-06-15;4
Hovedstaden;2020-06-16;25
Midtjylland;2020-06-16;5
Nordjylland;2020-06-16;7
Sjælland;2020-06-16;8
Syddanmark;2020-06-16;1
Hovedstaden;2020-06-17;41
Midtjylland;2020-06-17;3
Nordjylland;2020-06-17;16
Sjælland;2020-06-17;12
Syddanmark;2020-06-17;2
Hovedstaden;2020-06-18;37
Midtjylland;2020-06-18;2
Nordjylland;2020-06-18;2
Sjælland;2020-06-18;6
Syddanmark;2020-06-18;1
Hovedstaden;2020-06-19;24
Midtjylland;2020-06-19;2
Nordjylland;2020-06-19;1
Sjælland;2020-06-19;15
Hovedstaden;2020-06-20;31
Midtjylland;2020-06-20;2
Nordjylland;2020-06-20;2
Sjælland;2020-06-20;4
Hovedstaden;2020-06-21;26
Midtjylland;2020-06-21;1
Nordjylland;2020-06-21;3
Sjælland;2020-06-21;1
Syddanmark;2020-06-21;2
Hovedstaden;2020-06-22;40
Midtjylland;2020-06-22;1
Nordjylland;2020-06-22;3
Sjælland;2020-06-22;3
Hovedstaden;2020-06-23;8
Midtjylland;2020-06-23;4
Nordjylland;2020-06-23;4
Sjælland;2020-06-23;1
Syddanmark;2020-06-23;2
Hovedstaden;2020-06-24;15
Midtjylland;2020-06-24;3
Nordjylland;2020-06-24;17
Sjælland;2020-06-24;5
Syddanmark;2020-06-24;5
Hovedstaden;2020-06-25;18
Midtjylland;2020-06-25;5
Nordjylland;2020-06-25;5
Sjælland;2020-06-25;1
Syddanmark;2020-06-25;1
Hovedstaden;2020-06-26;13
Midtjylland;2020-06-26;3
Nordjylland;2020-06-26;2
Sjælland;2020-06-26;2
Syddanmark;2020-06-26;1
Hovedstaden;2020-06-27;7
Midtjylland;2020-06-27;3
Nordjylland;2020-06-27;9
Hovedstaden;2020-06-28;5
Midtjylland;2020-06-28;4
Nordjylland;2020-06-28;1
Syddanmark;2020-06-28;1
Hovedstaden;2020-06-29;20
Midtjylland;2020-06-29;1
Nordjylland;2020-06-29;2
Sjælland;2020-06-29;2
Syddanmark;2020-06-29;2
Hovedstaden;2020-06-30;11
Midtjylland;2020-06-30;2
Nordjylland;2020-06-30;6
Sjælland;2020-06-30;5
Syddanmark;2020-06-30;1
Hovedstaden;2020-07-01;6
Midtjylland;2020-07-01;2
Nordjylland;2020-07-01;2
Hovedstaden;2020-07-02;14
Midtjylland;2020-07-02;1
Hovedstaden;2020-07-03;12
Midtjylland;2020-07-03;1
Nordjylland;2020-07-03;5
Sjælland;2020-07-03;1
Hovedstaden;2020-07-04;10
Midtjylland;2020-07-04;1
Nordjylland;2020-07-04;1
Syddanmark;2020-07-04;2
Hovedstaden;2020-07-05;10
Midtjylland;2020-07-05;1
Nordjylland;2020-07-05;1
Syddanmark;2020-07-05;1
Hovedstaden;2020-07-06;6
Nordjylland;2020-07-06;2
Sjælland;2020-07-06;2
Syddanmark;2020-07-06;1
Hovedstaden;2020-07-07;9
Midtjylland;2020-07-07;1
Nordjylland;2020-07-07;2
Syddanmark;2020-07-07;1
Hovedstaden;2020-07-08;19
Midtjylland;2020-07-08;1
Nordjylland;2020-07-08;3
Sjælland;2020-07-08;3
Syddanmark;2020-07-08;1
Hovedstaden;2020-07-09;22
Midtjylland;2020-07-09;4
Nordjylland;2020-07-09;6
Sjælland;2020-07-09;9
Hovedstaden;2020-07-10;23
Nordjylland;2020-07-10;3
Sjælland;2020-07-10;4
Syddanmark;2020-07-10;3
Hovedstaden;2020-07-11;20
Sjælland;2020-07-11;2
Syddanmark;2020-07-11;2
Hovedstaden;2020-07-12;15
Midtjylland;2020-07-12;1
Nordjylland;2020-07-12;2
Sjælland;2020-07-12;5
Hovedstaden;2020-07-13;16
Midtjylland;2020-07-13;6
Sjælland;2020-07-13;10
Syddanmark;2020-07-13;2
Hovedstaden;2020-07-14;20
Midtjylland;2020-07-14;4
Nordjylland;2020-07-14;1
Sjælland;2020-07-14;5
Syddanmark;2020-07-14;4
Hovedstaden;2020-07-15;33
Midtjylland;2020-07-15;3
Nordjylland;2020-07-15;2
Sjælland;2020-07-15;4
Syddanmark;2020-07-15;2
Hovedstaden;2020-07-16;33
Midtjylland;2020-07-16;5
Sjælland;2020-07-16;9
Syddanmark;2020-07-16;5
Hovedstaden;2020-07-17;19
Midtjylland;2020-07-17;1
Nordjylland;2020-07-17;3
Sjælland;2020-07-17;10
Hovedstaden;2020-07-18;30
Sjælland;2020-07-18;13
Hovedstaden;2020-07-19;18
Midtjylland;2020-07-19;1
Nordjylland;2020-07-19;2
Sjælland;2020-07-19;7
Hovedstaden;2020-07-20;22
Midtjylland;2020-07-20;3
Sjælland;2020-07-20;7
Syddanmark;2020-07-20;1
Hovedstaden;2020-07-21;27
Midtjylland;2020-07-21;2
Nordjylland;2020-07-21;3
Sjælland;2020-07-21;4
Hovedstaden;2020-07-22;22
Nordjylland;2020-07-22;4
Sjælland;2020-07-22;7
Syddanmark;2020-07-22;2
Hovedstaden;2020-07-23;37
Midtjylland;2020-07-23;2
Nordjylland;2020-07-23;3
Sjælland;2020-07-23;5
Syddanmark;2020-07-23;5
Hovedstaden;2020-07-24;21
Midtjylland;2020-07-24;8
Nordjylland;2020-07-24;1
Sjælland;2020-07-24;2
Syddanmark;2020-07-24;4
Hovedstaden;2020-07-25;9
Midtjylland;2020-07-25;5
Nordjylland;2020-07-25;1
Sjælland;2020-07-25;9
Syddanmark;2020-07-25;3
Hovedstaden;2020-07-26;13
Midtjylland;2020-07-26;4
Nordjylland;2020-07-26;1
Sjælland;2020-07-26;2
Syddanmark;2020-07-26;4
Hovedstaden;2020-07-27;23
Midtjylland;2020-07-27;6
Nordjylland;2020-07-27;2
Sjælland;2020-07-27;22
Syddanmark;2020-07-27;10
Hovedstaden;2020-07-28;30
Midtjylland;2020-07-28;12
Nordjylland;2020-07-28;4
Sjælland;2020-07-28;26
Syddanmark;2020-07-28;5
Hovedstaden;2020-07-29;23
Midtjylland;2020-07-29;10
Nordjylland;2020-07-29;5
Sjælland;2020-07-29;13
Syddanmark;2020-07-29;9
Hovedstaden;2020-07-30;26
Midtjylland;2020-07-30;21
Nordjylland;2020-07-30;4
Sjælland;2020-07-30;26
Syddanmark;2020-07-30;7
Hovedstaden;2020-07-31;13
Midtjylland;2020-07-31;18
Nordjylland;2020-07-31;3
Sjælland;2020-07-31;13
Syddanmark;2020-07-31;11
Hovedstaden;2020-08-01;11
Midtjylland;2020-08-01;30
Nordjylland;2020-08-01;4
Sjælland;2020-08-01;14
Syddanmark;2020-08-01;6
Hovedstaden;2020-08-02;21
Midtjylland;2020-08-02;39
Nordjylland;2020-08-02;6
Sjælland;2020-08-02;9
Syddanmark;2020-08-02;3
Hovedstaden;2020-08-03;21
Midtjylland;2020-08-03;53
Nordjylland;2020-08-03;5
Sjælland;2020-08-03;29
Syddanmark;2020-08-03;9
Hovedstaden;2020-08-04;25
Midtjylland;2020-08-04;59
Nordjylland;2020-08-04;4
Sjælland;2020-08-04;21
Syddanmark;2020-08-04;12
Hovedstaden;2020-08-05;29
Midtjylland;2020-08-05;66
Nordjylland;2020-08-05;4
Sjælland;2020-08-05;8
Syddanmark;2020-08-05;9
Hovedstaden;2020-08-06;35
Midtjylland;2020-08-06;87
Nordjylland;2020-08-06;4
Sjælland;2020-08-06;32
Syddanmark;2020-08-06;14
Hovedstaden;2020-08-07;20
Midtjylland;2020-08-07;106
Nordjylland;2020-08-07;4
Sjælland;2020-08-07;7
Syddanmark;2020-08-07;4
Hovedstaden;2020-08-08;19
Midtjylland;2020-08-08;57
Nordjylland;2020-08-08;2
Sjælland;2020-08-08;8
Syddanmark;2020-08-08;3
Hovedstaden;2020-08-09;42
Midtjylland;2020-08-09;65
Nordjylland;2020-08-09;9
Sjælland;2020-08-09;4
Syddanmark;2020-08-09;10
Hovedstaden;2020-08-10;45
Midtjylland;2020-08-10;80
Nordjylland;2020-08-10;7
Sjælland;2020-08-10;10
Syddanmark;2020-08-10;12
Hovedstaden;2020-08-11;41
Midtjylland;2020-08-11;67
Nordjylland;2020-08-11;2
Sjælland;2020-08-11;18
Syddanmark;2020-08-11;9
Hovedstaden;2020-08-12;49
Midtjylland;2020-08-12;81
Nordjylland;2020-08-12;19
Sjælland;2020-08-12;5
Syddanmark;2020-08-12;8
Hovedstaden;2020-08-13;35
Midtjylland;2020-08-13;60
Nordjylland;2020-08-13;8
Sjælland;2020-08-13;2
Syddanmark;2020-08-13;12
Hovedstaden;2020-08-14;49
Midtjylland;2020-08-14;30
Nordjylland;2020-08-14;8
Sjælland;2020-08-14;14
Syddanmark;2020-08-14;10
Hovedstaden;2020-08-15;25
Midtjylland;2020-08-15;79
Nordjylland;2020-08-15;6
Sjælland;2020-08-15;6
Syddanmark;2020-08-15;11
Hovedstaden;2020-08-16;30
Midtjylland;2020-08-16;32
Nordjylland;2020-08-16;10
Sjælland;2020-08-16;7
Syddanmark;2020-08-16;11
Hovedstaden;2020-08-17;30
Midtjylland;2020-08-17;43
Nordjylland;2020-08-17;8
Sjælland;2020-08-17;6
Syddanmark;2020-08-17;10
Hovedstaden;2020-08-18;40
Midtjylland;2020-08-18;41
Nordjylland;2020-08-18;7
Sjælland;2020-08-18;14
Syddanmark;2020-08-18;10
Hovedstaden;2020-08-19;34
Midtjylland;2020-08-19;27
Nordjylland;2020-08-19;8
Sjælland;2020-08-19;4
Syddanmark;2020-08-19;13
Hovedstaden;2020-08-20;25
Midtjylland;2020-08-20;31
Nordjylland;2020-08-20;4
Sjælland;2020-08-20;11
Syddanmark;2020-08-20;11
Hovedstaden;2020-08-21;29
Midtjylland;2020-08-21;27
Nordjylland;2020-08-21;7
Sjælland;2020-08-21;5
Syddanmark;2020-08-21;15
Hovedstaden;2020-08-22;29
Midtjylland;2020-08-22;29
Nordjylland;2020-08-22;6
Sjælland;2020-08-22;5
Syddanmark;2020-08-22;19
Hovedstaden;2020-08-23;23
Midtjylland;2020-08-23;23
Nordjylland;2020-08-23;8
Sjælland;2020-08-23;4
Syddanmark;2020-08-23;15
Hovedstaden;2020-08-24;25
Midtjylland;2020-08-24;29
Nordjylland;2020-08-24;6
Sjælland;2020-08-24;6
Syddanmark;2020-08-24;6
Hovedstaden;2020-08-25;38
Midtjylland;2020-08-25;22
Nordjylland;2020-08-25;9
Sjælland;2020-08-25;4
Syddanmark;2020-08-25;10
Hovedstaden;2020-08-26;36
Midtjylland;2020-08-26;20
Nordjylland;2020-08-26;4
Sjælland;2020-08-26;10
Syddanmark;2020-08-26;10
Hovedstaden;2020-08-27;23
Midtjylland;2020-08-27;20
Nordjylland;2020-08-27;4
Sjælland;2020-08-27;7
Syddanmark;2020-08-27;15
Hovedstaden;2020-08-28;42
Midtjylland;2020-08-28;25
Nordjylland;2020-08-28;9
Sjælland;2020-08-28;9
Syddanmark;2020-08-28;22
Hovedstaden;2020-08-29;38
Midtjylland;2020-08-29;18
Nordjylland;2020-08-29;11
Sjælland;2020-08-29;2
Syddanmark;2020-08-29;14
Hovedstaden;2020-08-30;51
Midtjylland;2020-08-30;23
Nordjylland;2020-08-30;6
Sjælland;2020-08-30;5
Syddanmark;2020-08-30;19
Hovedstaden;2020-08-31;67
Midtjylland;2020-08-31;19
Nordjylland;2020-08-31;3
Sjælland;2020-08-31;9
Syddanmark;2020-08-31;22
Hovedstaden;2020-09-01;91
Midtjylland;2020-09-01;33
Nordjylland;2020-09-01;7
Sjælland;2020-09-01;16
Syddanmark;2020-09-01;51
Hovedstaden;2020-09-02;85
Midtjylland;2020-09-02;17
Nordjylland;2020-09-02;4
Sjælland;2020-09-02;14
Syddanmark;2020-09-02;36
Hovedstaden;2020-09-03;115
Midtjylland;2020-09-03;16
Nordjylland;2020-09-03;11
Sjælland;2020-09-03;15
Syddanmark;2020-09-03;35
Hovedstaden;2020-09-04;114
Midtjylland;2020-09-04;21
Nordjylland;2020-09-04;15
Sjælland;2020-09-04;23
Syddanmark;2020-09-04;26
Hovedstaden;2020-09-05;104
Midtjylland;2020-09-05;14
Nordjylland;2020-09-05;12
Sjælland;2020-09-05;17
Syddanmark;2020-09-05;52
Hovedstaden;2020-09-06;151
Midtjylland;2020-09-06;18
Nordjylland;2020-09-06;16
Sjælland;2020-09-06;18
Syddanmark;2020-09-06;19
Hovedstaden;2020-09-07;158
Midtjylland;2020-09-07;20
Nordjylland;2020-09-07;27
Sjælland;2020-09-07;66
Syddanmark;2020-09-07;24
Hovedstaden;2020-09-08;157
Midtjylland;2020-09-08;41
Nordjylland;2020-09-08;24
Sjælland;2020-09-08;50
Syddanmark;2020-09-08;55
Hovedstaden;2020-09-09;157
Midtjylland;2020-09-09;28
Nordjylland;2020-09-09;29
Sjælland;2020-09-09;24
Syddanmark;2020-09-09;55
