v1;v2;v3;v4
440;Kerteminde;2020-03-10;1
450;Nyborg;2020-03-10;1
461;Odense;2020-03-10;3
479;Svendborg;2020-03-10;1
480;Nordfyn;2020-03-10;1
510;Haderslev;2020-03-10;1
530;Billund;2020-03-10;1
561;Esbjerg;2020-03-10;4
580;Aabenraa;2020-03-10;1
607;Fredericia;2020-03-10;3
615;Horsens;2020-03-10;1
621;Kolding;2020-03-10;5
630;Vejle;2020-03-10;1
657;Herning;2020-03-10;2
661;Holstebro;2020-03-10;1
707;Norddjurs;2020-03-10;1
710;Favrskov;2020-03-10;4
727;Odder;2020-03-10;1
730;Randers;2020-03-10;2
740;Silkeborg;2020-03-10;4
746;Skanderborg;2020-03-10;13
751;Århus;2020-03-10;37
760;Ringkøbing-Skjern;2020-03-10;2
779;Skive;2020-03-10;3
791;Viborg;2020-03-10;1
813;Frederikshavn;2020-03-10;2
820;Vesthimmerland;2020-03-10;1
840;Rebild;2020-03-10;3
846;Mariagerfjord;2020-03-10;2
851;Aalborg;2020-03-10;5
101;København;2020-03-11;29
147;Frederiksberg;2020-03-11;8
151;Ballerup;2020-03-11;1
153;Brøndby;2020-03-11;3
155;Dragør;2020-03-11;3
157;Gentofte;2020-03-11;11
159;Gladsaxe;2020-03-11;6
161;Glostrup;2020-03-11;1
169;Høje Tåstrup;2020-03-11;1
173;Lyngby-Taarbæk;2020-03-11;3
185;Tårnby;2020-03-11;3
187;Vallensbæk;2020-03-11;1
190;Furesø;2020-03-11;1
217;Helsingør;2020-03-11;2
219;Hillerød;2020-03-11;1
223;Hørsholm;2020-03-11;1
230;Rudersdal;2020-03-11;7
240;Egedal;2020-03-11;4
250;Frederikssund;2020-03-11;1
253;Greve;2020-03-11;4
259;Køge;2020-03-11;2
260;Halsnæs;2020-03-11;1
265;Roskilde;2020-03-11;4
269;Solrød;2020-03-11;3
306;Odsherred;2020-03-11;4
320;Faxe;2020-03-11;1
330;Slagelse;2020-03-11;3
360;Lolland;2020-03-11;1
370;Næstved;2020-03-11;4
376;Guldborgsund;2020-03-11;1
410;Middelfart;2020-03-11;2
430;Faaborg-Midtfyn;2020-03-11;5
461;Odense;2020-03-11;6
480;Nordfyn;2020-03-11;1
530;Billund;2020-03-11;1
540;Sønderborg;2020-03-11;1
550;Tønder;2020-03-11;2
561;Esbjerg;2020-03-11;4
575;Vejen;2020-03-11;1
580;Aabenraa;2020-03-11;2
607;Fredericia;2020-03-11;4
621;Kolding;2020-03-11;10
630;Vejle;2020-03-11;4
657;Herning;2020-03-11;3
727;Odder;2020-03-11;1
730;Randers;2020-03-11;1
740;Silkeborg;2020-03-11;8
751;Århus;2020-03-11;12
773;Morsø;2020-03-11;1
787;Thisted;2020-03-11;2
813;Frederikshavn;2020-03-11;1
840;Rebild;2020-03-11;1
846;Mariagerfjord;2020-03-11;4
849;Jammerbugt;2020-03-11;1
851;Aalborg;2020-03-11;11
860;Hjørring;2020-03-11;2
101;København;2020-03-12;6
147;Frederiksberg;2020-03-12;2
151;Ballerup;2020-03-12;1
157;Gentofte;2020-03-12;2
173;Lyngby-Taarbæk;2020-03-12;1
175;Rødovre;2020-03-12;1
183;Ishøj;2020-03-12;1
185;Tårnby;2020-03-12;1
210;Fredensborg;2020-03-12;1
230;Rudersdal;2020-03-12;2
253;Greve;2020-03-12;1
259;Køge;2020-03-12;2
330;Slagelse;2020-03-12;2
370;Næstved;2020-03-12;1
420;Assens;2020-03-12;1
430;Faaborg-Midtfyn;2020-03-12;1
440;Kerteminde;2020-03-12;1
461;Odense;2020-03-12;1
479;Svendborg;2020-03-12;1
480;Nordfyn;2020-03-12;1
621;Kolding;2020-03-12;1
630;Vejle;2020-03-12;1
665;Lemvig;2020-03-12;1
746;Skanderborg;2020-03-12;1
751;Århus;2020-03-12;5
760;Ringkøbing-Skjern;2020-03-12;1
851;Aalborg;2020-03-12;1
101;København;2020-03-13;9
147;Frederiksberg;2020-03-13;2
151;Ballerup;2020-03-13;1
157;Gentofte;2020-03-13;2
187;Vallensbæk;2020-03-13;1
219;Hillerød;2020-03-13;1
230;Rudersdal;2020-03-13;2
253;Greve;2020-03-13;2
270;Gribskov;2020-03-13;3
376;Guldborgsund;2020-03-13;1
430;Faaborg-Midtfyn;2020-03-13;1
657;Herning;2020-03-13;1
661;Holstebro;2020-03-13;1
751;Århus;2020-03-13;3
791;Viborg;2020-03-13;2
840;Rebild;2020-03-13;1
101;København;2020-03-14;3
147;Frederiksberg;2020-03-14;3
151;Ballerup;2020-03-14;1
153;Brøndby;2020-03-14;2
157;Gentofte;2020-03-14;2
159;Gladsaxe;2020-03-14;2
165;Albertslund;2020-03-14;1
167;Hvidovre;2020-03-14;1
175;Rødovre;2020-03-14;1
259;Køge;2020-03-14;3
330;Slagelse;2020-03-14;2
340;Sorø;2020-03-14;2
410;Middelfart;2020-03-14;1
461;Odense;2020-03-14;2
607;Fredericia;2020-03-14;1
615;Horsens;2020-03-14;1
621;Kolding;2020-03-14;1
657;Herning;2020-03-14;2
727;Odder;2020-03-14;1
751;Århus;2020-03-14;2
773;Morsø;2020-03-14;1
820;Vesthimmerland;2020-03-14;1
851;Aalborg;2020-03-14;1
101;København;2020-03-15;10
153;Brøndby;2020-03-15;2
157;Gentofte;2020-03-15;1
159;Gladsaxe;2020-03-15;1
161;Glostrup;2020-03-15;1
167;Hvidovre;2020-03-15;2
175;Rødovre;2020-03-15;2
185;Tårnby;2020-03-15;1
210;Fredensborg;2020-03-15;1
223;Hørsholm;2020-03-15;1
230;Rudersdal;2020-03-15;1
240;Egedal;2020-03-15;1
259;Køge;2020-03-15;2
265;Roskilde;2020-03-15;2
320;Faxe;2020-03-15;1
330;Slagelse;2020-03-15;4
370;Næstved;2020-03-15;1
400;Bornholm;2020-03-15;1
479;Svendborg;2020-03-15;1
482;Langeland;2020-03-15;1
630;Vejle;2020-03-15;1
661;Holstebro;2020-03-15;1
730;Randers;2020-03-15;2
756;Ikast-Brande;2020-03-15;1
787;Thisted;2020-03-15;1
851;Aalborg;2020-03-15;1
860;Hjørring;2020-03-15;1
101;København;2020-03-16;23
147;Frederiksberg;2020-03-16;3
151;Ballerup;2020-03-16;2
153;Brøndby;2020-03-16;1
157;Gentofte;2020-03-16;2
159;Gladsaxe;2020-03-16;3
161;Glostrup;2020-03-16;1
163;Herlev;2020-03-16;1
173;Lyngby-Taarbæk;2020-03-16;4
175;Rødovre;2020-03-16;1
185;Tårnby;2020-03-16;1
190;Furesø;2020-03-16;1
217;Helsingør;2020-03-16;2
219;Hillerød;2020-03-16;1
230;Rudersdal;2020-03-16;1
240;Egedal;2020-03-16;2
250;Frederikssund;2020-03-16;1
253;Greve;2020-03-16;1
259;Køge;2020-03-16;1
265;Roskilde;2020-03-16;1
316;Holbæk;2020-03-16;2
320;Faxe;2020-03-16;1
329;Ringsted;2020-03-16;1
330;Slagelse;2020-03-16;5
340;Sorø;2020-03-16;1
360;Lolland;2020-03-16;1
370;Næstved;2020-03-16;1
430;Faaborg-Midtfyn;2020-03-16;1
461;Odense;2020-03-16;1
479;Svendborg;2020-03-16;3
561;Esbjerg;2020-03-16;1
657;Herning;2020-03-16;2
849;Jammerbugt;2020-03-16;1
101;København;2020-03-17;21
147;Frederiksberg;2020-03-17;2
151;Ballerup;2020-03-17;1
153;Brøndby;2020-03-17;2
157;Gentofte;2020-03-17;2
159;Gladsaxe;2020-03-17;5
161;Glostrup;2020-03-17;2
163;Herlev;2020-03-17;1
165;Albertslund;2020-03-17;2
173;Lyngby-Taarbæk;2020-03-17;3
185;Tårnby;2020-03-17;1
187;Vallensbæk;2020-03-17;1
190;Furesø;2020-03-17;3
217;Helsingør;2020-03-17;1
223;Hørsholm;2020-03-17;1
230;Rudersdal;2020-03-17;1
259;Køge;2020-03-17;2
265;Roskilde;2020-03-17;2
320;Faxe;2020-03-17;1
330;Slagelse;2020-03-17;3
370;Næstved;2020-03-17;2
430;Faaborg-Midtfyn;2020-03-17;1
450;Nyborg;2020-03-17;1
561;Esbjerg;2020-03-17;1
575;Vejen;2020-03-17;1
607;Fredericia;2020-03-17;1
621;Kolding;2020-03-17;1
657;Herning;2020-03-17;2
710;Favrskov;2020-03-17;1
751;Århus;2020-03-17;3
791;Viborg;2020-03-17;1
813;Frederikshavn;2020-03-17;1
851;Aalborg;2020-03-17;3
101;København;2020-03-18;20
147;Frederiksberg;2020-03-18;3
151;Ballerup;2020-03-18;2
153;Brøndby;2020-03-18;2
155;Dragør;2020-03-18;1
157;Gentofte;2020-03-18;4
159;Gladsaxe;2020-03-18;2
161;Glostrup;2020-03-18;1
167;Hvidovre;2020-03-18;1
169;Høje Tåstrup;2020-03-18;1
175;Rødovre;2020-03-18;2
201;Allerød;2020-03-18;1
217;Helsingør;2020-03-18;1
219;Hillerød;2020-03-18;2
230;Rudersdal;2020-03-18;2
250;Frederikssund;2020-03-18;2
270;Gribskov;2020-03-18;1
326;Kalundborg;2020-03-18;2
330;Slagelse;2020-03-18;9
340;Sorø;2020-03-18;1
350;Lejre;2020-03-18;1
360;Lolland;2020-03-18;1
410;Middelfart;2020-03-18;1
479;Svendborg;2020-03-18;1
561;Esbjerg;2020-03-18;1
630;Vejle;2020-03-18;1
661;Holstebro;2020-03-18;2
710;Favrskov;2020-03-18;1
730;Randers;2020-03-18;1
740;Silkeborg;2020-03-18;2
751;Århus;2020-03-18;4
779;Skive;2020-03-18;1
787;Thisted;2020-03-18;1
851;Aalborg;2020-03-18;4
860;Hjørring;2020-03-18;1
101;København;2020-03-19;20
147;Frederiksberg;2020-03-19;5
151;Ballerup;2020-03-19;2
153;Brøndby;2020-03-19;1
155;Dragør;2020-03-19;1
157;Gentofte;2020-03-19;4
159;Gladsaxe;2020-03-19;3
163;Herlev;2020-03-19;2
165;Albertslund;2020-03-19;1
167;Hvidovre;2020-03-19;1
169;Høje Tåstrup;2020-03-19;1
173;Lyngby-Taarbæk;2020-03-19;1
185;Tårnby;2020-03-19;1
190;Furesø;2020-03-19;2
210;Fredensborg;2020-03-19;1
217;Helsingør;2020-03-19;3
223;Hørsholm;2020-03-19;1
265;Roskilde;2020-03-19;3
270;Gribskov;2020-03-19;3
326;Kalundborg;2020-03-19;2
330;Slagelse;2020-03-19;1
400;Bornholm;2020-03-19;2
410;Middelfart;2020-03-19;1
461;Odense;2020-03-19;3
479;Svendborg;2020-03-19;1
540;Sønderborg;2020-03-19;1
561;Esbjerg;2020-03-19;4
621;Kolding;2020-03-19;4
630;Vejle;2020-03-19;2
657;Herning;2020-03-19;9
661;Holstebro;2020-03-19;2
665;Lemvig;2020-03-19;2
671;Struer;2020-03-19;1
710;Favrskov;2020-03-19;1
740;Silkeborg;2020-03-19;1
751;Århus;2020-03-19;7
756;Ikast-Brande;2020-03-19;1
787;Thisted;2020-03-19;1
851;Aalborg;2020-03-19;4
101;København;2020-03-20;22
147;Frederiksberg;2020-03-20;3
151;Ballerup;2020-03-20;2
157;Gentofte;2020-03-20;4
159;Gladsaxe;2020-03-20;1
161;Glostrup;2020-03-20;2
163;Herlev;2020-03-20;1
165;Albertslund;2020-03-20;1
169;Høje Tåstrup;2020-03-20;2
173;Lyngby-Taarbæk;2020-03-20;1
175;Rødovre;2020-03-20;1
183;Ishøj;2020-03-20;1
185;Tårnby;2020-03-20;1
187;Vallensbæk;2020-03-20;1
190;Furesø;2020-03-20;3
217;Helsingør;2020-03-20;2
219;Hillerød;2020-03-20;1
223;Hørsholm;2020-03-20;1
230;Rudersdal;2020-03-20;1
240;Egedal;2020-03-20;1
250;Frederikssund;2020-03-20;1
259;Køge;2020-03-20;1
316;Holbæk;2020-03-20;2
320;Faxe;2020-03-20;1
326;Kalundborg;2020-03-20;2
330;Slagelse;2020-03-20;8
336;Stevns;2020-03-20;1
340;Sorø;2020-03-20;1
350;Lejre;2020-03-20;1
360;Lolland;2020-03-20;1
376;Guldborgsund;2020-03-20;1
400;Bornholm;2020-03-20;2
410;Middelfart;2020-03-20;1
430;Faaborg-Midtfyn;2020-03-20;1
450;Nyborg;2020-03-20;1
479;Svendborg;2020-03-20;1
561;Esbjerg;2020-03-20;4
575;Vejen;2020-03-20;1
621;Kolding;2020-03-20;3
630;Vejle;2020-03-20;2
657;Herning;2020-03-20;1
661;Holstebro;2020-03-20;2
665;Lemvig;2020-03-20;1
671;Struer;2020-03-20;1
730;Randers;2020-03-20;1
740;Silkeborg;2020-03-20;1
751;Århus;2020-03-20;1
760;Ringkøbing-Skjern;2020-03-20;1
851;Aalborg;2020-03-20;5
101;København;2020-03-21;6
147;Frederiksberg;2020-03-21;2
153;Brøndby;2020-03-21;1
157;Gentofte;2020-03-21;2
159;Gladsaxe;2020-03-21;1
173;Lyngby-Taarbæk;2020-03-21;1
183;Ishøj;2020-03-21;1
187;Vallensbæk;2020-03-21;1
190;Furesø;2020-03-21;1
217;Helsingør;2020-03-21;2
219;Hillerød;2020-03-21;3
223;Hørsholm;2020-03-21;1
230;Rudersdal;2020-03-21;1
240;Egedal;2020-03-21;1
250;Frederikssund;2020-03-21;1
259;Køge;2020-03-21;1
265;Roskilde;2020-03-21;1
270;Gribskov;2020-03-21;3
316;Holbæk;2020-03-21;1
320;Faxe;2020-03-21;1
330;Slagelse;2020-03-21;4
450;Nyborg;2020-03-21;1
479;Svendborg;2020-03-21;1
561;Esbjerg;2020-03-21;1
607;Fredericia;2020-03-21;1
630;Vejle;2020-03-21;2
657;Herning;2020-03-21;2
661;Holstebro;2020-03-21;1
779;Skive;2020-03-21;1
791;Viborg;2020-03-21;1
820;Vesthimmerland;2020-03-21;1
101;København;2020-03-22;14
147;Frederiksberg;2020-03-22;3
157;Gentofte;2020-03-22;4
159;Gladsaxe;2020-03-22;4
190;Furesø;2020-03-22;1
217;Helsingør;2020-03-22;2
219;Hillerød;2020-03-22;2
240;Egedal;2020-03-22;1
259;Køge;2020-03-22;1
260;Halsnæs;2020-03-22;1
270;Gribskov;2020-03-22;3
306;Odsherred;2020-03-22;1
316;Holbæk;2020-03-22;1
320;Faxe;2020-03-22;2
326;Kalundborg;2020-03-22;2
330;Slagelse;2020-03-22;1
360;Lolland;2020-03-22;1
370;Næstved;2020-03-22;2
450;Nyborg;2020-03-22;1
479;Svendborg;2020-03-22;1
561;Esbjerg;2020-03-22;1
615;Horsens;2020-03-22;1
621;Kolding;2020-03-22;2
657;Herning;2020-03-22;1
661;Holstebro;2020-03-22;1
730;Randers;2020-03-22;2
751;Århus;2020-03-22;3
760;Ringkøbing-Skjern;2020-03-22;1
810;Brønderslev;2020-03-22;1
846;Mariagerfjord;2020-03-22;1
101;København;2020-03-23;28
147;Frederiksberg;2020-03-23;3
151;Ballerup;2020-03-23;2
153;Brøndby;2020-03-23;2
157;Gentofte;2020-03-23;9
159;Gladsaxe;2020-03-23;2
163;Herlev;2020-03-23;1
167;Hvidovre;2020-03-23;3
169;Høje Tåstrup;2020-03-23;1
173;Lyngby-Taarbæk;2020-03-23;2
175;Rødovre;2020-03-23;2
185;Tårnby;2020-03-23;2
187;Vallensbæk;2020-03-23;3
190;Furesø;2020-03-23;2
201;Allerød;2020-03-23;1
210;Fredensborg;2020-03-23;1
217;Helsingør;2020-03-23;1
223;Hørsholm;2020-03-23;4
230;Rudersdal;2020-03-23;1
253;Greve;2020-03-23;1
259;Køge;2020-03-23;3
265;Roskilde;2020-03-23;3
269;Solrød;2020-03-23;2
270;Gribskov;2020-03-23;2
330;Slagelse;2020-03-23;5
340;Sorø;2020-03-23;1
360;Lolland;2020-03-23;1
370;Næstved;2020-03-23;1
410;Middelfart;2020-03-23;2
420;Assens;2020-03-23;1
430;Faaborg-Midtfyn;2020-03-23;2
461;Odense;2020-03-23;1
479;Svendborg;2020-03-23;1
480;Nordfyn;2020-03-23;2
615;Horsens;2020-03-23;1
621;Kolding;2020-03-23;2
657;Herning;2020-03-23;5
661;Holstebro;2020-03-23;1
671;Struer;2020-03-23;1
710;Favrskov;2020-03-23;1
746;Skanderborg;2020-03-23;1
751;Århus;2020-03-23;6
760;Ringkøbing-Skjern;2020-03-23;2
766;Hedensted;2020-03-23;1
779;Skive;2020-03-23;1
787;Thisted;2020-03-23;1
791;Viborg;2020-03-23;1
820;Vesthimmerland;2020-03-23;1
846;Mariagerfjord;2020-03-23;1
851;Aalborg;2020-03-23;6
860;Hjørring;2020-03-23;1
101;København;2020-03-24;29
147;Frederiksberg;2020-03-24;6
153;Brøndby;2020-03-24;3
157;Gentofte;2020-03-24;5
159;Gladsaxe;2020-03-24;4
161;Glostrup;2020-03-24;1
163;Herlev;2020-03-24;1
167;Hvidovre;2020-03-24;2
169;Høje Tåstrup;2020-03-24;1
173;Lyngby-Taarbæk;2020-03-24;1
175;Rødovre;2020-03-24;2
185;Tårnby;2020-03-24;1
187;Vallensbæk;2020-03-24;1
190;Furesø;2020-03-24;1
210;Fredensborg;2020-03-24;2
217;Helsingør;2020-03-24;2
219;Hillerød;2020-03-24;3
230;Rudersdal;2020-03-24;1
240;Egedal;2020-03-24;1
250;Frederikssund;2020-03-24;1
253;Greve;2020-03-24;1
259;Køge;2020-03-24;2
260;Halsnæs;2020-03-24;1
265;Roskilde;2020-03-24;3
270;Gribskov;2020-03-24;3
316;Holbæk;2020-03-24;2
329;Ringsted;2020-03-24;2
330;Slagelse;2020-03-24;2
336;Stevns;2020-03-24;1
340;Sorø;2020-03-24;3
350;Lejre;2020-03-24;1
376;Guldborgsund;2020-03-24;1
400;Bornholm;2020-03-24;2
410;Middelfart;2020-03-24;1
420;Assens;2020-03-24;1
430;Faaborg-Midtfyn;2020-03-24;1
461;Odense;2020-03-24;4
479;Svendborg;2020-03-24;5
530;Billund;2020-03-24;1
561;Esbjerg;2020-03-24;3
573;Varde;2020-03-24;1
580;Aabenraa;2020-03-24;1
607;Fredericia;2020-03-24;2
615;Horsens;2020-03-24;1
621;Kolding;2020-03-24;1
630;Vejle;2020-03-24;2
657;Herning;2020-03-24;3
671;Struer;2020-03-24;1
710;Favrskov;2020-03-24;1
751;Århus;2020-03-24;3
756;Ikast-Brande;2020-03-24;2
760;Ringkøbing-Skjern;2020-03-24;1
766;Hedensted;2020-03-24;1
779;Skive;2020-03-24;1
791;Viborg;2020-03-24;2
820;Vesthimmerland;2020-03-24;1
851;Aalborg;2020-03-24;6
101;København;2020-03-25;26
147;Frederiksberg;2020-03-25;8
151;Ballerup;2020-03-25;2
153;Brøndby;2020-03-25;3
157;Gentofte;2020-03-25;1
159;Gladsaxe;2020-03-25;3
161;Glostrup;2020-03-25;2
167;Hvidovre;2020-03-25;5
169;Høje Tåstrup;2020-03-25;1
173;Lyngby-Taarbæk;2020-03-25;2
175;Rødovre;2020-03-25;2
185;Tårnby;2020-03-25;1
187;Vallensbæk;2020-03-25;3
210;Fredensborg;2020-03-25;2
217;Helsingør;2020-03-25;3
219;Hillerød;2020-03-25;1
223;Hørsholm;2020-03-25;2
230;Rudersdal;2020-03-25;2
240;Egedal;2020-03-25;2
250;Frederikssund;2020-03-25;1
253;Greve;2020-03-25;3
259;Køge;2020-03-25;4
265;Roskilde;2020-03-25;5
269;Solrød;2020-03-25;2
316;Holbæk;2020-03-25;4
326;Kalundborg;2020-03-25;3
329;Ringsted;2020-03-25;1
330;Slagelse;2020-03-25;5
370;Næstved;2020-03-25;1
390;Vordingborg;2020-03-25;1
400;Bornholm;2020-03-25;1
450;Nyborg;2020-03-25;2
461;Odense;2020-03-25;1
479;Svendborg;2020-03-25;4
561;Esbjerg;2020-03-25;3
607;Fredericia;2020-03-25;2
615;Horsens;2020-03-25;1
621;Kolding;2020-03-25;5
630;Vejle;2020-03-25;2
657;Herning;2020-03-25;9
661;Holstebro;2020-03-25;1
707;Norddjurs;2020-03-25;1
730;Randers;2020-03-25;1
740;Silkeborg;2020-03-25;2
746;Skanderborg;2020-03-25;2
751;Århus;2020-03-25;1
760;Ringkøbing-Skjern;2020-03-25;1
791;Viborg;2020-03-25;3
846;Mariagerfjord;2020-03-25;2
849;Jammerbugt;2020-03-25;1
851;Aalborg;2020-03-25;4
860;Hjørring;2020-03-25;1
101;København;2020-03-26;26
147;Frederiksberg;2020-03-26;7
151;Ballerup;2020-03-26;1
157;Gentofte;2020-03-26;5
159;Gladsaxe;2020-03-26;7
161;Glostrup;2020-03-26;3
163;Herlev;2020-03-26;1
165;Albertslund;2020-03-26;1
167;Hvidovre;2020-03-26;2
169;Høje Tåstrup;2020-03-26;1
173;Lyngby-Taarbæk;2020-03-26;1
183;Ishøj;2020-03-26;3
185;Tårnby;2020-03-26;5
187;Vallensbæk;2020-03-26;3
217;Helsingør;2020-03-26;2
219;Hillerød;2020-03-26;3
223;Hørsholm;2020-03-26;2
230;Rudersdal;2020-03-26;2
240;Egedal;2020-03-26;5
250;Frederikssund;2020-03-26;3
253;Greve;2020-03-26;1
259;Køge;2020-03-26;2
265;Roskilde;2020-03-26;2
269;Solrød;2020-03-26;1
270;Gribskov;2020-03-26;2
316;Holbæk;2020-03-26;2
320;Faxe;2020-03-26;1
326;Kalundborg;2020-03-26;2
330;Slagelse;2020-03-26;2
340;Sorø;2020-03-26;3
370;Næstved;2020-03-26;1
376;Guldborgsund;2020-03-26;2
400;Bornholm;2020-03-26;4
410;Middelfart;2020-03-26;2
440;Kerteminde;2020-03-26;1
461;Odense;2020-03-26;4
479;Svendborg;2020-03-26;2
540;Sønderborg;2020-03-26;1
561;Esbjerg;2020-03-26;1
573;Varde;2020-03-26;1
575;Vejen;2020-03-26;2
607;Fredericia;2020-03-26;3
621;Kolding;2020-03-26;5
630;Vejle;2020-03-26;1
657;Herning;2020-03-26;3
661;Holstebro;2020-03-26;3
707;Norddjurs;2020-03-26;1
710;Favrskov;2020-03-26;1
727;Odder;2020-03-26;1
740;Silkeborg;2020-03-26;2
751;Århus;2020-03-26;8
760;Ringkøbing-Skjern;2020-03-26;3
773;Morsø;2020-03-26;1
779;Skive;2020-03-26;1
791;Viborg;2020-03-26;4
810;Brønderslev;2020-03-26;2
813;Frederikshavn;2020-03-26;1
849;Jammerbugt;2020-03-26;1
851;Aalborg;2020-03-26;7
101;København;2020-03-27;48
147;Frederiksberg;2020-03-27;11
151;Ballerup;2020-03-27;5
153;Brøndby;2020-03-27;2
157;Gentofte;2020-03-27;6
159;Gladsaxe;2020-03-27;4
165;Albertslund;2020-03-27;1
167;Hvidovre;2020-03-27;4
169;Høje Tåstrup;2020-03-27;5
173;Lyngby-Taarbæk;2020-03-27;3
175;Rødovre;2020-03-27;4
185;Tårnby;2020-03-27;1
187;Vallensbæk;2020-03-27;2
190;Furesø;2020-03-27;1
201;Allerød;2020-03-27;2
210;Fredensborg;2020-03-27;3
219;Hillerød;2020-03-27;3
223;Hørsholm;2020-03-27;3
230;Rudersdal;2020-03-27;2
240;Egedal;2020-03-27;2
250;Frederikssund;2020-03-27;2
253;Greve;2020-03-27;5
259;Køge;2020-03-27;5
260;Halsnæs;2020-03-27;1
265;Roskilde;2020-03-27;3
269;Solrød;2020-03-27;1
270;Gribskov;2020-03-27;3
306;Odsherred;2020-03-27;1
316;Holbæk;2020-03-27;1
